term,coef,std_error,p_value,ci_lower,ci_upper,relativity,relativity_lower,relativity_upper
intercept,48.59218974830363,143.26648865304782,0.7344790661635268,-232.20496820318638,329.38934769979363,1.2685858744853332e+21,1.427787708302624e-101,1.1271354358813381e+143
C(VehBrand)[B10],-0.01727317066207522,0.04589819319972656,0.7066666618628994,-0.1072319762890005,0.07268563496485006,0.9828751553025005,0.8983172605134246,1.0753924179958219
C(VehBrand)[B11],0.1941052318300933,0.04794472393015664,5.1542263502346586e-05,0.1001352996782706,0.28807516398191596,1.214224051252526,1.1053204574613846,1.33385755840098
C(VehBrand)[B12],-0.2877487819532184,0.02773152865734667,0.0,-0.3421015793578583,-0.23339598454857852,0.7499499695426939,0.7102760516593793,0.7918399550472307
C(VehBrand)[B13],0.0337866225155655,0.05109814083499738,0.508477387907843,-0.0663638931979848,0.1339371382291158,1.0343638732179177,0.935790274610572,1.1433209462062572
C(VehBrand)[B14],-0.22915236245355777,0.10098826906615481,0.023262316953726714,-0.42708573268426164,-0.031218992222853903,0.7952073645293802,0.6524076171739505,0.9692632887104364
C(VehBrand)[B2],-0.010276303410268594,0.019997532770895384,0.6073368958228369,-0.04947074742088302,0.028918140600345834,0.9897763173922585,0.951732998374094,1.029340329844811
C(VehBrand)[B3],0.0492378965976679,0.027350650012748157,0.07182181307159352,-0.004368392381078459,0.10284418557641425,1.0504702243091284,0.9956411351665148,1.1083187035814053
C(VehBrand)[B4],0.00503316002542027,0.03751015183822948,0.8932592318331118,-0.0684853866321384,0.07855170668297895,1.005045847652696,0.9338071060705686,1.0817192858324542
C(VehBrand)[B5],0.0754644766698944,0.0314624426403361,0.016459793574564063,0.01379922222917837,0.13712973111061044,1.0783849192141666,1.0138948709491682,1.1469769374608536
C(VehBrand)[B6],0.0025426293451066805,0.03579063462248759,0.9433645270967312,-0.06760572549880131,0.07269098418901468,1.0025458645685101,0.9346289012854756,1.0753981705263165
C(VehPower)[11],0.06462993833359346,0.05567044637033751,0.24566710176183015,-0.04448213155553664,0.17374200822272357,1.0667641827996817,0.9564926909774549,1.189748580871378
C(VehPower)[12],0.004440496188538821,0.07640917744106941,0.9536572677331583,-0.1453187396842876,0.15419973206136522,1.0044503698009088,0.8647466201144293,1.1667238956767187
C(VehPower)[13],0.0004291409032804305,0.1033785337191,0.9966878625046589,-0.20218906196071515,0.20304734376727598,1.0004292329974112,0.8169404609754434,1.2251304691663123
C(VehPower)[14],-0.004052550831428987,0.12528656078022612,0.9741959236772573,-0.24960969770756067,0.24150459604470267,0.9959556496713002,0.7791048101297606,1.27316330641955
C(VehPower)[15],0.08434230256266483,0.116139898841763,0.4677082131586259,-0.14328771633531578,0.31197232146064546,1.088001255692983,0.8665047254629757,1.3661168803863462
C(VehPower)[4],-0.2187440379971554,0.039470369750387806,2.9906881637842275e-08,-0.29610454116439466,-0.14138353482991609,0.8035273643072116,0.7437096756806231,0.8681562796659962
C(VehPower)[5],-0.16811459211877777,0.037526098146272495,7.466473317840894e-06,-0.24166439296578715,-0.0945647912717684,0.8452569693477334,0.7853196921434701,0.9097687876396592
C(VehPower)[6],-0.14880399508858738,0.0370560840604465,5.928400332910755e-05,-0.2214325852551513,-0.07617540492202347,0.8617380032279301,0.8013699444773,0.9266536526917316
C(VehPower)[7],-0.14960697668247616,0.03686125760443443,4.935703294384197e-05,-0.22185371401202084,-0.07736023935293149,0.861046321213712,0.8010325356000668,0.9255563717150032
C(VehPower)[8],-0.12300258489232298,0.0436283025820031,0.004812400590776589,-0.2085124866596649,-0.03749268312498105,0.8842613768374222,0.8117908980825942,0.9632014653197783
