term,coef,std_error,p_value,ci_lower,ci_upper,relativity,relativity_lower,relativity_upper
intercept,-565.999364475294,338.8428459207374,0.0948424234645433,-1230.1191388989942,98.12040994840606,1.547388082138267e-246,9.85967654375977e-305,4.1034826609785356e+42
C(VehBrand)[B10],-0.016289940206722423,0.1041907272485836,0.8757592647625219,-0.2205000131369823,0.18792013272353747,0.9838420233381603,0.8021176283242247,1.206737132692552
C(VehBrand)[B11],0.07222924950850684,0.15263938148314407,0.6360691228487427,-0.22693844082092557,0.37139693983793926,1.0749017365148497,0.7969698415892944,1.4497584260635836
C(VehBrand)[B12],-0.013105041017269347,0.06630323021388508,0.843316462565662,-0.14305698429515204,0.11684690226061335,0.9869804561439772,0.8667046789330423,1.1239473427204498
C(VehBrand)[B13],0.1551670651381635,0.16088423247123473,0.3348133028819067,-0.16016023618582606,0.47049436646215304,1.167853052339743,0.8520072556347743,1.600785372236199
C(VehBrand)[B14],-0.2239875945377526,0.12417512202733491,0.07126202250245472,-0.46736636148719535,0.019391172411690166,0.7993250503045941,0.6266504677551779,1.0195804023464923
C(VehBrand)[B2],-0.0036504668964213905,0.05203912673965921,0.9440754610534374,-0.10564528109306871,0.09834434730022594,0.9963561879576219,0.8997437475959271,1.103342652765257
C(VehBrand)[B3],0.02771798424513207,0.0737095189464707,0.7068845695707144,-0.11675001820772325,0.1721859866979874,1.0281057015279742,0.8898076010621856,1.1878987460351644
C(VehBrand)[B4],0.014484507853334496,0.11143603980008543,0.8965818851980454,-0.20392611673460498,0.23289513244127397,1.0145899166538497,0.8155226224358348,1.2622491034044345
C(VehBrand)[B5],-0.011737845405088359,0.08169535688702102,0.8857545518465748,-0.17185780260779582,0.14838211179761912,0.9883307743571565,0.842098908924069,1.1599560445808548
C(VehBrand)[B6],-0.1673901342750733,0.07117733834946442,0.018686155104406632,-0.3068951539554452,-0.027885114594701416,0.8458695442546794,0.7357277350064647,0.9725000864502302
C(VehPower)[11],-0.08353182335917539,0.13191288009890445,0.5265803377886276,-0.3420763174499786,0.17501267073162777,0.9198618131125771,0.7102939948142037,1.1912613106690977
C(VehPower)[12],0.316842175610443,0.2110955424887191,0.13337055163410838,-0.09689748496439116,0.7305818361852772,1.3727858957315282,0.9076490490386253,2.0762883159691574
C(VehPower)[13],-0.29570867171236337,0.13015414927712823,0.023087232155994508,-0.5508061167339846,-0.04061122669074213,0.7440041459044426,0.5764849088912801,0.9602023584409081
